Trait	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	StandCount	StandCount	StandCount	StandCount	StandCount	StandCount	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselBranchLength	Spikelets-MainSpike	Spikelets-MainSpike	Spikelets-PrimaryBranch	Spikelets-PrimaryBranch	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	TasselSterility	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	NumberofLeaves	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	UpperLeafAngle-BorderPlant	LeafWidth-BorderPlant	LeafSheathLength	TilleringIndex-BorderPlant	Phylotaxy	NumberofTilleringPlants	NumberofTilleringPlants	SizeofTillers	NR	NR	CS	GS	GLDH	AlaAT	AGPase	ShikDH	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIROil	NIROil	NIROil	NIROil	NIROil	NIROil	NorthernLeafBlight	NorthernLeafBlight(Percentage)	NorthernLeafBlight(Percentage)	NorthernLeafBlight-IncubationPeriod	SouthernLeafBlight	SouthernLeafBlight	SouthernLeafBlight	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	KernelFillPercentage	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	RowQuality	RowQuality	HerbicideSensitivity
A554	16	7	9	4	NaN	3	3	6	8	7	6	NaN	NaN	68	84	61	45	72	59	61	70	55	NaN	68	83	61.5	45	71	60	59	70	56	NaN	778.55278	697.34611	789.163335	763.05278	684.72111	701.47111	NaN	762.19222	692.634445	NaN	735.66	765	702.759445	765	763.05278	675.27389	718.94222	NaN	738.384445	707.884445	NaN	0	13.55278	-5.4158325	24.163335	0	9.44222	-17.47111	NaN	23.80278	-15.25	NaN	290	248	238	NaN	294.5	280	305	289	208	196	177	NaN	199.5	153	216	179.6666667	10.5	5.5	7.5	NaN	10	15	7	12	188	148	163	176	20	20	27	33	2	0	0	2	NaN	NaN	105	95	117.5	70	110	130	95	65	NaN	130	NaN	45	20	40	20	45	55	40	25	NaN	55	NaN	4	468	780	490	461	560	613	575	573	677	71	58	63.25	51	53	90	80	68	90	52.5	35	32.5	25	30	50	10	30	55	NaN	67.5	45	NaN	62.5	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	113	0	105	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.7	58.69	NaN	NaN	62.75	NaN	NaN	15.38	18.06	NaN	NaN	16.89	NaN	3.46	3.835	NaN	NaN	3.95	NaN	7	NaN	NaN	NaN	5	6	1.5	24	NaN	21.01	21.44	NaN	28	21.055	26	11	NaN	9.035	4.82	NaN	18.7	13.4	14.8	33	NaN	NaN	33.2	NaN	40	34.995	40	108	NaN	51.05	62.54	NaN	112	112.82	141	94	NaN	59.16	NaN	109	96.915	107	13	NaN	13	14	NaN	12	12	14	30	NaN	NaN	30	NaN	NaN	35	NaN	NaN	24.38	NaN	86	49.4	73	15	NaN	21.5	14	NaN	23	NaN	NaN	2.975	2.45	NaN	5.8	2.9	3.7	2	3	NaN
A556	12	0	10	4	NaN	7	7	6.5	9	14	6	NaN	NaN	76	NaN	62	49	72	61	66	75	58	NaN	76	NaN	63.5	48	73	65	65	79	59	NaN	NaN	714.610555	789.163335	830.27389	684.72111	735.831665	745.55278	821.610555	741.413335	NaN	859.38	NaN	735.108055	765	813.05278	698.05278	791.831665	784.72111	811.134445	756.413335	NaN	0	NaN	-20.4975	24.163335	17.22111	-13.331665	-56	-39.163335	10.47111	-15	NaN	261	277	278	258	258.5	288	284	323	209	227	215	212	204.5	210	222	234	6	8	5.5	3	8.5	9	4	7	NaN	164	193	200	25	24	14	17	NaN	0	1	2	NaN	NaN	90	60	102.5	65	105	125	85	75	100	115	NaN	35	NaN	42.5	20	40	60	30	25	65	45	NaN	3.5	480	NaN	594.5	522	706	662	NaN	565	692	83	NaN	87.25	70	86	89	73	74	93	47.5	NaN	42.5	25	55	55	45	30	60	NaN	NaN	50	NaN	45	NaN	NaN	0	0	0	NaN	NaN	55	85	98	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.1	71.82	NaN	67.89	69.09	NaN	NaN	14.175	12.14	NaN	12.92	11.64	NaN	3.625	3.17	NaN	4.32	3.45	3	NaN	NaN	NaN	7.5	7	4	21	NaN	21.6475	NaN	NaN	NaN	21.185	23	71	NaN	15.48	NaN	NaN	15.6	8.6	12.25	34	NaN	31.9575	NaN	NaN	38	32.515	35	108	NaN	139.11	NaN	NaN	141	90.885	123.5	109	NaN	NaN	NaN	131	NaN	102	11	NaN	11.75	NaN	NaN	14	NaN	13	50	NaN	NaN	NaN	NaN	NaN	45	NaN	NaN	NaN	NaN	76	NaN	58	14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.6	NaN	3.6	4	2	NaN
A6	1	1	9	6	NaN	6	7	5.5	9	13	7	NaN	NaN	NaN	124	82.5	65	102	94	NaN	NaN	78	NaN	NaN	120	79	64	97	88	82	NaN	76	NaN	964.80278	1041.968613	1116.663335	1090	1005.27389	1251.94222	1064.44222	NaN	1095.52389	NaN	NaN	964.80278	983.90139	1065.27389	1074.44222	985.831665	1154.25	998.610555	1055.75	1054.25	NaN	NaN	0	58.0672225	51.384445	15.55278	19.44222	97.69222	65.831665	NaN	41.27389	NaN	NaN	331	349.5	244	317	352	411	309	NaN	188	200	176	207	195	242	186	NaN	20	15	11	12	16	20	19	NaN	198	152	212	22	24	20	23	NaN	6	3	5	6	NaN	140	162.5	190	95	185	195	145	110	200	200	NaN	95	97.5	127.5	40	NaN	140	80	65	120	135	NaN	3.5	824	NaN	834.75	673	736	961	809	913	1034	95	NaN	86	75	85	96	92	87	76	85	85	NaN	60	NaN	NaN	NaN	NaN	65	NaN	80	75	NaN	70	NaN	NaN	0	0.5	0	NaN	NaN	NaN	90	141	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60.29	69.46	64.62	NaN	NaN	NaN	NaN	15.65	10.68	14.23	NaN	NaN	NaN	4.355	5.34	5.09	NaN	NaN	3	NaN	NaN	NaN	8.25	8.5	8	NaN	NaN	24.135	NaN	28	NaN	NaN	28	NaN	NaN	13.895	NaN	13	NaN	NaN	11	NaN	NaN	NaN	NaN	40	NaN	NaN	34.5	NaN	NaN	131.3475	NaN	123	NaN	NaN	95	NaN	NaN	NaN	123	NaN	NaN	83	NaN	NaN	NaN	NaN	14	NaN	NaN	14.5	NaN	NaN	NaN	NaN	80	NaN	NaN	NaN	NaN	NaN	72	NaN	NaN	41.5	NaN	NaN	NaN	NaN	22	NaN	NaN	NaN	NaN	NaN	4.7	NaN	NaN	3.15	3	3	NaN
A619	9	6	9.5	6	NaN	3	8	6.5	8	10	6	NaN	NaN	74	NaN	68	51	77	67	72	77	59	NaN	74	91	67	50	75	67	72	75	58	NaN	NaN	798.5	867.5	865.27389	748.331665	821.25	866.663335	895.52389	756.413335	NaN	835.86	881.610555	787.134445	NaN	847.77389	724.163335	821.25	827.77389	895.52389	741.413335	NaN	0	NaN	11.360555	NaN	17.5	24.163335	0	38.884445	0	15	NaN	262.5	249	309.5	NaN	306.5	238	293	364	201.5	187.5	229.5	NaN	250.5	174	215	247	8	5	8.5	NaN	8	12	7	8	180	158	172	190	30	18	20	18	1	0	0	1	NaN	NaN	125	100	157.5	65	155	165	165	110	95	165	NaN	30	NaN	55	35	55	55	50	30	50	55	NaN	5	527	457	595	614	690	557	539	635	673	89	74	90	77	103	89	87	92	93	67.5	50	57.5	NaN	65	60	60	55	45	NaN	NaN	57.5	NaN	52.5	NaN	NaN	0	0	0	NaN	NaN	65	93.5	126	0	182.5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.015	NaN	67.95	66.88	64.73	NaN	NaN	14.185	NaN	13.56	14.75	14.25	NaN	2.885	NaN	3.82	3.72	3.19	5	NaN	NaN	NaN	7.75	7.5	5	NaN	NaN	30.6725	NaN	30	30	29.815	34.5	NaN	NaN	17.985	NaN	19.5	17.9	26.165	26.8	NaN	NaN	NaN	NaN	41	46	43.645	49.5	NaN	NaN	160.245	NaN	163	113	164.655	174	NaN	NaN	NaN	139	102	NaN	172.5	15	NaN	NaN	NaN	12	14	13	14	NaN	NaN	NaN	NaN	50	80	NaN	NaN	NaN	NaN	NaN	86	NaN	128.5	13	NaN	NaN	NaN	25	NaN	NaN	NaN	NaN	NaN	6.1	5.6	NaN	4.6	2	3	NaN
A632	20	10	10.5	6	NaN	13	6	8	9	14	5	NaN	NaN	71	90	69	52	74	67	64	78	64	NaN	71	89	66.5	52	74	66	62	77	63	NaN	870.55278	811.6922225	884.44222	882.22111	712.77389	821.25	854.163335	801.413335	850.360555	NaN	786.38	860.19222	781.485555	843.884445	882.22111	712.77389	805.610555	815	774.94222	829.72111	NaN	0	10.360555	30.2041675	40.55278	0	0	15.634445	39.163335	26.47111	20.634445	NaN	269	304.5	241	245	252.5	286	235	NaN	191	252	187.5	222	199.5	203	161	NaN	9	5.5	9	3	7	10	8	7	NaN	216	161	188	31	NaN	19	NaN	NaN	0	1	2	NaN	NaN	125	125	145	87.5	150	NaN	150	115	155	145	NaN	60	55	82.5	35	90	NaN	85	50	95	85	NaN	5.5	532	628	744	491	750	788	689	758	785	57	59	75	49	83	80	70	88	78	42.5	NaN	15	5	60	NaN	5	15	15	NaN	57.5	50	NaN	50	NaN	NaN	0	0.5	0	NaN	NaN	25	84	133	0	102.5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.28	65.125	65.96	67.3	66.22	64.15	NaN	11.09	14.645	15.31	14.47	14.5	14.4	4.46	3.885	4.38	4.78	4.17	3.83	5	NaN	NaN	NaN	6.25	6.25	3	24	22	23.065	19.5	26.5	25	23.09	28	12	11.1	12.255	3.62	17.2	9.9	11.3	13.9	34	34	34.82	30.755	41.5	35	34.175	41	131	118	128.6825	68.665	145	94	143.32	131	110	102	67.905	128	91	113.265	111	15	12	14.5	12	14	12	12	16	50	50	65	25	95	NaN	47	45	64.53	21.705	93	53	51.1	65.5	15	16	24	14.5	23	20	NaN	4.9	4.54	3.58	5.45	4.9	5.1	3.95	1	2	NaN
A634	18	7	11	6	NaN	11	5	7.5	8	11	6	NaN	NaN	74	93	65.5	55	75	63	70	78	67	NaN	74	90	65	51	75	65	69	76	65	NaN	904.77389	767.3172225	789.163335	931.110555	724.163335	766.360555	806.110555	868.69222	895.134445	NaN	835.86	870.55278	761.7908325	765	865.27389	724.163335	791.831665	784.72111	855.134445	870.610555	NaN	0	34.22111	5.52639	24.163335	65.831665	0	-25.47111	21.384445	13.55278	24.52389	NaN	265.5	259	252	NaN	247	235	247	232	194.5	210	172	NaN	173	175	185	134	6.5	3	5	3	5	4	NaN	5	208	190	NaN	208	24	20	12	11	1	0	NaN	1	NaN	NaN	130	100	130	90	155	155	140	90	140	155	NaN	45	30	65	40	80	70	70	45	85	75	NaN	5	605	577	676.5	600	810	772	711	767	824	70	53	70.75	66	62	84	74	81	66	27.5	NaN	40	30	NaN	NaN	5	5	15	NaN	70	50	NaN	58.33333333	NaN	NaN	0	0	0	NaN	NaN	NaN	68	114	0	205	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.66	62.445	66.31	66.15	65.78	63.18	NaN	11.57	16.845	15.83	16.5	16.63	16.54	4.01	3.855	4.19	5.12	4.46	4.43	4	NaN	NaN	NaN	4.75	5.5	2	25	22	23.88	24.195	NaN	31	23.555	30	14	5.7	18.4425	9.09	NaN	24.6	21.65	19.55	34	35	34.445	33.385	NaN	45	37.17	40.5	138	81	133.33	92.075	NaN	153	140.69	135.5	104	70	90.175	NaN	134	120.76	124.5	9	NaN	14	13	NaN	16	14	14	30	30	68.75	30	NaN	NaN	35	NaN	63.8475	31.255	NaN	90	85.05	78	10	NaN	19.75	13.5	NaN	21.5	NaN	4	4.6775	4.29	NaN	4.6	5.75	5.15	2	2	NaN
A635	11	9	9	5	NaN	10	7	6.5	6	13	7	NaN	NaN	82	87	74.5	53	80	73	73	80	65	NaN	80	84	69.5	52	76	69	70	77	64	NaN	832.163335	903.511945	948.884445	897.77389	788.331665	927.831665	936.110555	909.72111	870.610555	NaN	915.19	778.55278	826.108055	880.27389	882.22111	736.94222	856.5	879.44222	868.69222	850.360555	NaN	32.83	53.610555	77.4013875	68.610555	15.55278	51.384445	71.331665	56.663335	41.02389	20.25	NaN	234	305.5	299.5	NaN	273	309	316	272	180.5	231.5	241	NaN	236	227	265	242	7.5	10.5	6	NaN	6	10	8	9	132	178	NaN	146	24	30	16	18	1	1	NaN	1	NaN	NaN	80	110	105	55	100	110	90	80	95	100	NaN	45	45	45	20	55	45	45	20	50	50	NaN	4	515	691	642.75	288	797	715	709	688	717	66	62	71.25	35	73	71	68	72	59	12.5	NaN	5	5	NaN	NaN	10	5	10	NaN	57.5	50	NaN	60	NaN	NaN	NaN	0	0	NaN	NaN	NaN	65	133	0	87.5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.18	68.42	NaN	69.07	NaN	67.89	NaN	13.98	14.26	NaN	13.39	NaN	13.84	3.61	3.47	NaN	3.87	NaN	3.07	5	NaN	NaN	NaN	6.75	7	3.5	NaN	24.5	19.6325	NaN	NaN	NaN	22.305	23	NaN	NaN	8.125	NaN	NaN	NaN	10.05	14.25	NaN	38.5	32.7625	NaN	NaN	NaN	34.595	39.66666667	NaN	NaN	119.545	NaN	NaN	NaN	114.695	151.5	NaN	68.5	NaN	NaN	NaN	107.115	116.5	NaN	14	12.25	NaN	NaN	NaN	15	14	NaN	45	50	NaN	NaN	NaN	NaN	38	41.01	NaN	NaN	NaN	47.7	60.5	NaN	12	19	NaN	NaN	23	NaN	5.65	4.3475	NaN	NaN	NaN	3.35	3.55	1	4	NaN
A641	13	8	10.5	3	NaN	6	6	7	7	12	6	NaN	NaN	68	90	61	48	76	60	64	74	58	NaN	68	87	61	48	75	61	62	75	58	NaN	870.55278	695.483055	789.163335	813.05278	736.94222	718.94222	771.663335	801.413335	741.413335	NaN	735.66	832.163335	695.483055	765	813.05278	724.163335	735.831665	771.663335	774.94222	741.413335	NaN	0	38.384445	0	24.163335	0	12.77389	-16.884445	0	26.47111	0	NaN	231	246.5	278	203	284	251	291	306	184	228	219	156	247	213	248	219	5	2.5	5	4	4	5	4	5	NaN	128	NaN	141	27	20	30	15	NaN	0	NaN	0	NaN	1	85	100	115	80	110	115	155	95	NaN	135	NaN	40	40	52.5	35	45	20	65	40	NaN	60	NaN	4.5	539	574	642.75	554	741	587.5	592	669	669	75	70	88	77	82	72	84	103	84	52.5	50	40	55	65	35	10	50	45	NaN	47.5	50	NaN	35	NaN	NaN	NaN	0	0	NaN	NaN	35	91	117	0	135	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.77	69.09	67.61	NaN	70.84	NaN	NaN	13.53	13.88	15.15	NaN	12.54	NaN	3.65	3.51	3.94	NaN	4.44	NaN	4	NaN	NaN	NaN	6.5	5.5	4	26	26	23.7175	NaN	NaN	29	25.465	28	9	11.9	11.3875	NaN	NaN	15.3	14.85	14.3	33	36	32.8075	NaN	NaN	38	33.37	35.5	120	127	118.6725	NaN	NaN	116	124.91	122.5	113	74	NaN	NaN	100	118.945	114	13	15	13.25	NaN	NaN	12	14	13.5	50	50	NaN	NaN	NaN	NaN	49	48	NaN	NaN	NaN	67	50.6	62.5	18	13	14.5	NaN	NaN	21.5	NaN	5.1	4.15	NaN	NaN	5.7	4.05	4.75	2	1	NaN
A654	16	4	11	6	NaN	12	0	7.5	8	15	7	NaN	NaN	68	78	57.5	45	65	58	64	69	73	NaN	68	78	59.5	45	64	58	62	70	73	NaN	691.55278	641.5672225	727.5	763.05278	625.55278	684.19222	784.72111	801.413335	NaN	NaN	735.66	691.55278	671.3725	698.05278	763.05278	613.05278	684.19222	745.55278	774.94222	NaN	NaN	0	0	-29.8027775	29.44222	0	12.5	0	39.163335	26.47111	NaN	NaN	246.5	259	279	NaN	237.5	275	293	NaN	182.5	208	234.5	NaN	185	198	221	NaN	4.5	4	2.5	NaN	5	7	3	NaN	196	200	169	186	15	12	22	13	0	0	0	0	NaN	NaN	95	100	107.5	75	105	125	150	75	90	90	NaN	30	25	40	30	15	45	50	25	40	35	NaN	4.5	515	578	491.75	614	537	543	573	503	NaN	80	71	63.5	62	70	88	73	60	NaN	70	55	55	55	45	70	40	60	NaN	NaN	75	67.5	NaN	60	NaN	NaN	NaN	0	0	NaN	NaN	60	92	123	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.65	64.13	NaN	NaN	NaN	NaN	NaN	15.22	17.72	NaN	NaN	NaN	NaN	4.6	4.71	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	5	NaN	3	22	NaN	NaN	NaN	NaN	NaN	24.405	20.5	8.5	NaN	NaN	NaN	NaN	NaN	14.65	7.4	29	NaN	NaN	NaN	NaN	NaN	33.97	31	138	NaN	NaN	NaN	NaN	NaN	119.35	109	111	NaN	NaN	NaN	NaN	107.445	101.5	15	NaN	NaN	NaN	NaN	NaN	11	12	80	NaN	NaN	NaN	NaN	100	66	NaN	NaN	NaN	NaN	NaN	50.25	33	30	NaN	NaN	NaN	NaN	18	NaN	NaN	NaN	NaN	NaN	NaN	4.95	3.8	2	2	NaN
A659	11	3	10	6	NaN	7	2	5.5	8	14	7	NaN	NaN	76	NaN	70	51	61	61	59	70	66	NaN	76	90	66.5	49	61	59	59	69	65	NaN	NaN	828.1802775	867.5	865.27389	582.5	735.831665	745.55278	738.384445	883.413335	NaN	859.38	870.55278	781.485555	789.163335	830.27389	582.5	701.47111	NaN	738.384445	870.610555	NaN	0	NaN	46.6922225	78.331665	35	0	34.360555	NaN	0	12.80278	NaN	308	303.5	350.5	265	347.5	280	251	311	234	253	272.5	192	263.5	226	211	221	16	4.5	8	6	8	8	3	17	NaN	226	194	140	23	17	14	15	NaN	0	0	0	NaN	NaN	125	100	122.5	80	130	135	95	80	105	140	NaN	40	15	42.5	15	50	55	40	15	75	80	NaN	4	730	657	692.25	596	798	703	623	646	827	78	62	62	60	69	69	57	66	97	50	70	60	37.5	75	10	5	5	70	NaN	NaN	67.5	NaN	40	NaN	NaN	0	0	0	1	NaN	15	77	138	0	NaN	0	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.585	NaN	NaN	NaN	NaN	NaN	NaN	15.96	NaN	NaN	NaN	NaN	NaN	3.365	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	4.5	NaN	3	30	22	23.995	18.76	26	29	25.34	32.5	22	5.7	8.195	7.8	10.2	22.2	17.3	26.8	35	31	36.12	31.26	38	38	35.25	38	113	83	92.025	95.98	85	153	122.425	150.5	93	77	89.57	74	127	68.945	141.5	13	NaN	10.5	11	NaN	16	14	16	50	20	30	20	40	NaN	56	NaN	29.77	23.7	30	85	39.8	62.5	16	NaN	12	12	14	17.5	NaN	4	6.31	5.7	6.6	5.1	2.95	4.75	2	1	NaN
A661	12	5	10.5	6	NaN	13	5	6.5	9	12	6	NaN	NaN	68	86	63	45	74	61	64	74	57	NaN	68	84	61.5	45	69	60	61	71	56	NaN	812.581665	729.94222	741.94222	763.05278	712.77389	735.831665	745.55278	801.413335	724.44222	NaN	735.66	778.55278	702.759445	698.05278	763.05278	658.331665	718.94222	NaN	762.19222	707.884445	NaN	0	34.02389	27.17778	43.884445	0	54.44222	16.884445	NaN	39.22111	16.55278	NaN	286	288.5	275.5	245	266.5	256	304	379	214	232.5	231.5	201	208.5	188	259	261	8	3	4	2	6.5	11	3	8	NaN	158	142	146	29	20	20	14	NaN	0	0	1	NaN	NaN	120	125	130	85	145	140	140	95	NaN	155	NaN	55	50	67.5	25	80	60	70	45	NaN	55	NaN	4.5	488	609	577.5	512	721	573	636	592	708	85	73	84.75	61	85	88	98	88	121	62.5	55	45	50	65	67.5	40	45	50	NaN	57.5	55	NaN	47.5	NaN	NaN	0	0	0	NaN	NaN	45	90	120	0	292.5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.33	64.755	NaN	67.59	64.84	NaN	NaN	14.73	16.66	NaN	15.21	17.04	NaN	5.09	4.735	NaN	5.84	4.5	NaN	5	NaN	NaN	NaN	7.25	7.5	5	26	24	27.68	24.39	30	NaN	26.42	30.5	19	18.8	21.025	8.23	18.8	NaN	27.02	19.45	38	39	35.6275	31.71	NaN	NaN	39.45	40.5	121	123	123.97	63.505	110	NaN	126.48	130.5	107	102	52.08	92	NaN	114.59	124	14	12	15.25	12.5	14	NaN	17	17	74	50	51.25	12.5	50	100	82.6	55	57.1575	17.875	58	NaN	73.145	86	22	13	22	12	18	20.5	NaN	5.4	3.775	2.455	3.9	NaN	4.125	3.8	2	2	NaN
A679	17	9	10.5	6	NaN	6	6	6	9	15	5	NaN	NaN	74	97	67	51	72	64	64	76	61	NaN	74	96	66.5	NaN	72	65	62	75	60	NaN	936.94222	787.5672225	857.22111	865.27389	684.72111	778.25	866.663335	801.413335	791.69222	NaN	835.86	930.47111	781.485555	874.44222	NaN	684.72111	791.831665	879.44222	774.94222	773.72111	NaN	0	6.47111	6.0816675	-17.22111	NaN	0	-13.581665	-12.77389	26.47111	17.97111	NaN	294	324	332	NaN	NaN	298	348	342	215	251.5	253	NaN	NaN	222	200	246	9	7	5.5	2	6	7	10	9	NaN	228	NaN	166	15	31	11	15	NaN	0	NaN	1	NaN	NaN	150	105	147.5	115	NaN	175	155	110	150	135	NaN	70	40	60	55	NaN	85	75	50	95	70	NaN	4.5	719	647	758.5	669	753	787	838	734	818	91	56	77.25	71	72	96	91	101	95	75	75	77.5	60	85	80	65	80	75	NaN	70	67.5	NaN	70	NaN	NaN	1	1	0	NaN	NaN	80	91	114	0	110	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.12	65.985	70.94	NaN	70.97	69.03	NaN	12.06	15.565	16.46	NaN	12.56	15.64	3.43	3.225	2.63	NaN	3.61	2.73	3	NaN	NaN	NaN	8.25	7.75	5.5	25	25	28.65	25.39	28	29	26.945	31.5	23	12.6	25.05	15.8	12.9	25	23.375	26.9	45	37	42.1575	36.01	42	45	42.385	48	165	138	169.525	144.7	116	139	168.47	160.5	137	126	136.14	96	137	155.93	150.5	18	NaN	19	16	18	18	16	20	120	50	111.25	65	50	NaN	84	NaN	107.4125	58	47	125	120.74	122	24	NaN	33	38	18	32.5	NaN	4.6	3.925	2.3	3	3.7	4.75	3.2	2	2	NaN
